Dim = 4
Support = 4

Elem = 29 29 29 29 
Type = 1 1 1 1 

1 1 1 1 
0 2 0 0 
2 0 0 0 
1 0 1 0 
1 0 0 1 
0 1 1 0 
0 1 0 1 
2 0 2 0 
2 0 1 0 
1 0 2 0 
2 0 0 2 
2 0 1 1 
1 1 2 0 
1 1 0 2 
0 2 1 1 
1 1 1 0 
1 0 1 1 
1 1 0 1 
0 1 1 1 
2 0 0 1 
1 0 0 2 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 2 0 2 
0 2 0 1 
0 1 0 2 
0 0 2 0 
0 0 0 2 

1 1 1 1 
0 2 0 0 
2 0 0 0 
1 0 1 0 
1 0 0 1 
0 1 1 0 
0 1 0 1 
2 0 2 0 
2 0 1 0 
1 0 2 0 
2 0 0 2 
2 0 1 1 
1 1 2 0 
1 1 0 2 
0 2 1 1 
1 1 1 0 
1 0 1 1 
1 1 0 1 
0 1 1 1 
2 0 0 1 
1 0 0 2 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 2 0 2 
0 2 0 1 
0 1 0 2 
0 0 2 0 
0 0 0 2 

1 1 1 1 
0 2 0 0 
2 0 0 0 
1 0 1 0 
1 0 0 1 
0 1 1 0 
0 1 0 1 
2 0 2 0 
2 0 1 0 
1 0 2 0 
2 0 0 2 
2 0 1 1 
1 1 2 0 
1 1 0 2 
0 2 1 1 
1 1 1 0 
1 0 1 1 
1 1 0 1 
0 1 1 1 
2 0 0 1 
1 0 0 2 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 2 0 2 
0 2 0 1 
0 1 0 2 
0 0 2 0 
0 0 0 2 

1 1 1 1 
0 2 0 0 
2 0 0 0 
1 0 1 0 
1 0 0 1 
0 1 1 0 
0 1 0 1 
2 0 2 0 
2 0 1 0 
1 0 2 0 
2 0 0 2 
2 0 1 1 
1 1 2 0 
1 1 0 2 
0 2 1 1 
1 1 1 0 
1 0 1 1 
1 1 0 1 
0 1 1 1 
2 0 0 1 
1 0 0 2 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 2 0 2 
0 2 0 1 
0 1 0 2 
0 0 2 0 
0 0 0 2 

