Dim = 4
Support = 4

Elem = 15 15 15 15 
Type = 1 1 1 1 

2 0 0 2 
2 0 0 1 
1 1 1 1 
1 1 1 0 
1 1 0 1 
1 0 1 1 
1 0 1 0 
1 0 0 2 
1 0 0 1 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 1 1 1 
0 1 1 0 
0 1 0 1 

2 0 0 2 
2 0 0 1 
1 1 1 1 
1 1 1 0 
1 1 0 1 
1 0 1 1 
1 0 1 0 
1 0 0 2 
1 0 0 1 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 1 1 1 
0 1 1 0 
0 1 0 1 

2 0 0 2 
2 0 0 1 
1 1 1 1 
1 1 1 0 
1 1 0 1 
1 0 1 1 
1 0 1 0 
1 0 0 2 
1 0 0 1 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 1 1 1 
0 1 1 0 
0 1 0 1 

2 0 0 2 
2 0 0 1 
1 1 1 1 
1 1 1 0 
1 1 0 1 
1 0 1 1 
1 0 1 0 
1 0 0 2 
1 0 0 1 
0 2 2 0 
0 2 1 0 
0 1 2 0 
0 1 1 1 
0 1 1 0 
0 1 0 1 

