Dim = 10
Support = 10

Elem = 3 3 3 3 3 3 3 3 3 3 
Type = 1 1 1 1 1 1 1 1 1 1 

1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 1 1 0 0 0 0 1 

0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
1 1 0 0 0 0 1 0 0 0 

0 0 0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
1 1 1 0 0 0 0 0 0 0 

0 0 0 0 1 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 1 1 0 0 

0 0 0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 0 1 0 0 1 1 0 0 

0 0 0 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 1 0 0 1 0 

0 0 0 0 0 0 0 1 0 0 
0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 1 0 0 1 0 

0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 1 1 0 0 

0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 0 0 
0 1 0 0 0 0 1 0 1 0 

0 1 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 
1 0 0 0 1 0 0 0 1 0 

