Dim = 6
Support = 6

Elem = 4 28 28 28 24 30 
Type = 1 1 1 1 1 1 

0 0 0 2 0 0 
0 0 0 0 2 0 
0 0 0 0 0 2 
0 0 0 0 0 0 

1 0 1 1 0 0 
1 0 1 0 0 1 
1 1 0 0 1 0 
0 1 1 0 1 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
2 0 0 0 0 0 
0 2 0 0 0 0 
0 0 2 0 0 0 
0 0 0 0 0 0 
0 1 0 0 0 0 
1 0 0 0 0 0 
0 0 1 0 0 0 
1 1 0 0 0 0 
1 0 1 0 0 0 
0 1 1 0 0 0 
2 0 0 1 0 0 
0 2 0 1 0 0 
0 0 2 1 0 0 
2 0 0 0 1 0 
0 2 0 0 1 0 
0 0 2 0 1 0 
0 0 2 0 0 1 
0 1 0 1 0 0 
0 0 1 0 1 0 
1 0 0 0 1 0 
0 1 0 0 0 1 

1 0 1 1 0 0 
0 1 1 0 1 0 
0 1 1 0 0 1 
1 1 0 1 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
2 0 0 0 0 0 
0 2 0 0 0 0 
0 0 2 0 0 0 
0 1 0 0 0 0 
1 0 0 0 0 0 
0 0 1 0 0 0 
0 0 0 0 0 0 
1 1 0 0 0 0 
1 0 1 0 0 0 
0 1 1 0 0 0 
2 0 0 1 0 0 
0 2 0 1 0 0 
0 0 2 1 0 0 
2 0 0 0 1 0 
0 2 0 0 1 0 
0 0 2 0 1 0 
0 0 2 0 0 1 
0 1 0 1 0 0 
1 0 0 0 1 0 
1 0 0 0 0 1 
0 0 1 1 0 0 

1 0 1 1 0 0 
1 0 1 0 0 1 
1 1 0 0 1 0 
0 1 1 0 1 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
2 0 0 0 0 0 
0 2 0 0 0 0 
0 0 2 0 0 0 
0 1 0 0 0 0 
1 0 0 0 0 0 
0 0 1 0 0 0 
0 0 0 0 0 0 
1 1 0 0 0 0 
1 0 1 0 0 0 
0 1 1 0 0 0 
2 0 0 1 0 0 
0 2 0 1 0 0 
0 0 2 1 0 0 
2 0 0 0 1 0 
0 2 0 0 1 0 
0 0 2 0 1 0 
0 0 2 0 0 1 
0 1 0 1 0 0 
0 0 1 0 1 0 
1 0 0 0 1 0 
0 1 0 0 0 1 

1 0 0 0 0 0 
1 1 0 1 0 0 
0 0 1 0 0 0 
1 1 0 0 0 0 
0 1 1 0 0 0 
2 0 0 0 0 0 
0 2 0 0 0 0 
0 0 2 0 0 0 
0 0 0 0 0 1 
0 0 0 1 0 0 
0 1 1 0 0 1 
1 0 0 0 0 1 
0 0 0 0 0 0 
0 2 0 0 0 1 
2 0 0 0 0 1 
0 0 1 1 0 0 
2 0 0 1 0 0 
0 2 0 1 0 0 
0 0 2 1 0 0 
2 0 0 0 1 0 
0 2 0 0 1 0 
0 0 2 0 1 0 
0 0 2 0 0 1 
0 0 0 0 1 0 

1 0 1 1 0 0 
1 0 1 0 0 1 
1 1 0 0 1 0 
0 1 1 0 1 0 
0 1 1 0 0 1 
1 1 0 1 0 0 
0 0 0 1 0 0 
0 0 0 0 1 0 
0 0 0 0 0 1 
0 2 0 0 0 0 
0 0 2 0 0 0 
0 1 0 0 0 0 
0 0 1 0 0 0 
1 1 0 0 0 0 
1 0 1 0 0 0 
2 0 0 1 0 0 
0 2 0 1 0 0 
0 0 2 1 0 0 
2 0 0 0 1 0 
0 2 0 0 1 0 
0 0 2 0 1 0 
0 0 2 0 0 1 
0 1 0 1 0 0 
0 0 1 0 1 0 
1 0 0 0 1 0 
0 1 0 0 0 1 
1 0 0 0 0 1 
0 0 1 1 0 0 
0 2 0 0 0 1 
2 0 0 0 0 1 

