Dim = 8
Support = 8

Elem = 8 7 6 5 4 3 2 8 
Type = 1 1 1 1 1 1 1 1 

0 1 0 0 0 0 0 0 
0 1 1 0 0 0 0 0 
0 0 1 1 0 0 0 0 
0 0 0 1 1 0 0 0 
0 0 0 0 1 1 0 0 
0 0 0 0 0 1 1 0 
0 0 0 0 0 0 1 1 
1 0 0 0 0 0 0 0 

0 0 1 0 0 0 0 0 
0 1 0 1 0 0 0 0 
0 0 1 0 1 0 0 0 
0 0 0 1 0 1 0 0 
0 0 0 0 1 0 1 0 
0 0 0 0 0 1 0 1 
1 0 0 0 0 0 0 0 

0 0 0 1 0 0 0 0 
0 1 0 0 1 0 0 0 
0 0 1 0 0 1 0 0 
0 0 0 1 0 0 1 0 
0 0 0 0 1 0 0 1 
1 0 0 0 0 0 0 0 

0 0 0 0 1 0 0 0 
0 1 0 0 0 1 0 0 
0 0 1 0 0 0 1 0 
0 0 0 1 0 0 0 1 
1 0 0 0 0 0 0 0 

0 0 0 0 0 1 0 0 
0 1 0 0 0 0 1 0 
0 0 1 0 0 0 0 1 
1 0 0 0 0 0 0 0 

0 0 0 0 0 0 1 0 
0 1 0 0 0 0 0 1 
1 0 0 0 0 0 0 0 

0 0 0 0 0 0 0 1 
1 0 0 0 0 0 0 0 

0 1 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 
0 0 0 1 0 0 0 0 
0 0 0 0 1 0 0 0 
0 0 0 0 0 1 0 0 
0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 

