Dim = 8
Support = 8

Elem = 3 3 3 3 3 3 7 6 
Type = 1 1 1 1 1 1 1 1 

2 0 0 0 0 0 0 0 
0 2 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 

0 0 2 0 0 0 0 0 
0 0 0 2 0 0 0 0 
0 0 0 0 0 0 0 0 

0 0 0 0 2 0 0 0 
0 0 0 0 0 2 0 0 
0 0 0 0 0 0 0 0 

0 0 0 0 0 0 2 0 
0 0 0 0 0 0 0 2 
0 0 0 0 0 0 0 0 

0 0 0 0 0 1 0 1 
1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 

1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 

1 0 1 0 0 0 0 0 
0 1 1 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 
0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 

1 0 1 0 0 0 0 0 
0 1 1 0 0 0 0 0 
1 0 0 0 0 0 0 0 
0 1 0 0 0 0 0 0 
0 0 0 1 0 0 0 0 
0 0 0 0 0 0 0 0 

