
Dim = 12
Support = 4

Elem = 4 4 4 100 
Type = 1 1 1 9

a1.1 = 0 0 0 0 0 0 0 0 0 0 0 0 
a1.2 = 2 0 0 0 0 0 0 0 0 0 0 0 
a1.3 = 0 2 0 0 0 0 0 0 0 0 0 0 
a1.4 = 0 0 2 0 0 0 0 0 0 0 0 0 

a2.1 = 0 0 0 0 0 0 0 0 0 0 0 0 
a2.2 = 1 0 0 1 0 0 0 0 0 0 0 0 
a2.3 = 0 1 0 0 1 0 0 0 0 0 0 0 
a2.4 = 0 0 1 0 0 1 0 0 0 0 0 0 

a3.1 = 0 0 0 1 0 0 0 0 0 1 0 0 
a3.2 = 0 0 0 0 1 0 0 0 0 0 1 0 
a3.3 = 0 0 0 0 0 1 0 0 0 0 0 1 
a3.4 = 0 0 0 0 0 0 0 0 0 0 0 0 

a4.1 = 0 0 0 0 0 0 0 0 0 0 0 0 
a4.2 = 1 0 0 1 0 0 0 0 0 0 0 0 
a4.3 = 0 1 0 1 0 0 0 0 0 0 0 0 
a4.4 = 0 0 1 1 0 0 0 0 0 0 0 0 
a4.5 = 0 0 0 2 0 0 0 0 0 0 0 0 
a4.6 = 1 0 0 0 1 0 0 0 0 0 0 0 
a4.7 = 0 1 0 0 1 0 0 0 0 0 0 0 
a4.8 = 0 0 1 0 1 0 0 0 0 0 0 0 
a4.10 = 0 0 0 0 2 0 0 0 0 0 0 0 
a4.11 = 1 0 0 0 0 1 0 0 0 0 0 0 
a4.12 = 0 1 0 0 0 1 0 0 0 0 0 0 
a4.13 = 0 0 1 0 0 1 0 0 0 0 0 0 
a4.16 = 0 0 0 0 0 2 0 0 0 0 0 0 
a4.17 = 0 0 0 0 0 0 1 0 0 0 0 0 
a4.33 = 1 0 0 1 0 0 2 0 0 0 0 0 
a4.34 = 0 1 0 1 0 0 2 0 0 0 0 0 
a4.35 = 0 0 1 1 0 0 2 0 0 0 0 0 
a4.36 = 0 0 0 2 0 0 2 0 0 0 0 0 
a4.37 = 1 0 0 0 1 0 2 0 0 0 0 0 
a4.38 = 0 1 0 0 1 0 2 0 0 0 0 0 
a4.39 = 0 0 1 0 1 0 2 0 0 0 0 0 
a4.41 = 0 0 0 0 2 0 2 0 0 0 0 0 
a4.42 = 1 0 0 0 0 1 2 0 0 0 0 0 
a4.43 = 0 1 0 0 0 1 2 0 0 0 0 0 
a4.44 = 0 0 1 0 0 1 2 0 0 0 0 0 
a4.47 = 0 0 0 0 0 2 2 0 0 0 0 0 
a4.48 = 0 0 0 0 0 0 0 1 0 0 0 0 
a4.79 = 1 0 0 1 0 0 0 2 0 0 0 0 
a4.80 = 0 1 0 1 0 0 0 2 0 0 0 0 
a4.81 = 0 0 1 1 0 0 0 2 0 0 0 0 
a4.82 = 0 0 0 2 0 0 0 2 0 0 0 0 
a4.83 = 1 0 0 0 1 0 0 2 0 0 0 0 
a4.84 = 0 1 0 0 1 0 0 2 0 0 0 0 
a4.85 = 0 0 1 0 1 0 0 2 0 0 0 0 
a4.87 = 0 0 0 0 2 0 0 2 0 0 0 0 
