Dim =  7
Support =  7

Elem =  8 8 8 8 8 8 8 
Type =  1 1 1 1 1 1 1 

1 2 0 0 0 0 0 
1 0 2 0 0 0 0 
1 0 0 2 0 0 0 
1 0 0 0 2 0 0 
1 0 0 0 0 2 0 
1 0 0 0 0 0 2 
1 0 0 0 0 0 0 
0 0 0 0 0 0 0 

2 1 0 0 0 0 0 
0 1 2 0 0 0 0 
0 1 0 2 0 0 0 
0 1 0 0 2 0 0 
0 1 0 0 0 2 0 
0 1 0 0 0 0 2 
0 1 0 0 0 0 0 
0 0 0 0 0 0 0 

2 0 1 0 0 0 0 
0 2 1 0 0 0 0 
0 0 1 2 0 0 0 
0 0 1 0 2 0 0 
0 0 1 0 0 2 0 
0 0 1 0 0 0 2 
0 0 1 0 0 0 0 
0 0 0 0 0 0 0 

2 0 0 1 0 0 0 
0 2 0 1 0 0 0 
0 0 2 1 0 0 0 
0 0 0 1 2 0 0 
0 0 0 1 0 2 0 
0 0 0 1 0 0 2 
0 0 0 1 0 0 0 
0 0 0 0 0 0 0 

2 0 0 0 1 0 0 
0 2 0 0 1 0 0 
0 0 2 0 1 0 0 
0 0 0 2 1 0 0 
0 0 0 0 1 2 0 
0 0 0 0 1 0 2 
0 0 0 0 1 0 0 
0 0 0 0 0 0 0 

2 0 0 0 0 1 0 
0 2 0 0 0 1 0 
0 0 2 0 0 1 0 
0 0 0 2 0 1 0 
0 0 0 0 2 1 0 
0 0 0 0 0 1 2 
0 0 0 0 0 1 0 
0 0 0 0 0 0 0 

2 0 0 0 0 0 1 
0 2 0 0 0 0 1 
0 0 2 0 0 0 1 
0 0 0 2 0 0 1 
0 0 0 0 2 0 1 
0 0 0 0 0 2 1 
0 0 0 0 0 0 1 
0 0 0 0 0 0 0 

